abate,(of something unpleasant or severe) become less severe or intense; the storm suddenly abated,-1.000000
aberrant,deviating from the norm/noun form is aberration; this aberrant behaviour requires explaination,-1.000000
abscond,to depart clandestinely or leave hurriedly secretly typically to escape custody or arrest;the barman abscondedwith a week's takings,-1.000000
accolade,an expression of praise or an acknowledgement of merit; The hotel won numerous accolades,-1.000000
adulation,excessive admiration or praise/ intense adoration; he found it difficult to cope with the adulation of fans,-1.000000
aesthetic,concerned with beauty or appreciation of the beauty; the pictures give great aesthetic pleasure,-1.000000
alacrity,eager and enthusiastic readiness/brisk and cheerful readiness;sted the invitation with alacrity,-1.000000
ameliorate,make (somehthing bad or unsatisfactory) better or tolerable; the reform did much to ameliorate the standards,-1.000000
anamoly,deviating from the normal  order  law etc; gravitational anomaly,-1.000000
anomaly,deviating from the normal  order  law etc; gravitational anomaly,-1.000000
apathy,indiffernce or lack of interest,100.000000
approbation,an expressionof approval or praise; FORMAL  a term of approbation,-1.000000
arduous,strenous or taxing or requiring great effort; an arduous journey,-1.000000
ascetic,one who practices in rigid self-denial esp as an act of religion;,-1.000000
assuage,to ease or lessen/to appease or pacify;the letter assuaged the fears of most members,-1.000000
audacious,daring or fearless/ recklessly bold/ showing an impudent lack of respect; a series of audacious take overs/he made an audacious remark,-1.000000
austere,without adornment/severly simple/ ascetic/ Also could mean severe or strict in attitude or manner,-1.000000
avarice,extreme greed for wealth or material gain; the corporate worlued by avarice and a thirst for power,-1.000000
axiom,a universallrecogned principle;,-1.000000
axiomatic,self-evident or unquestionable; it is axiomatic that dividend has to be financed,-1.000000
bucolic,related to countryside andf country life esp pleasent aspects of it; the church is lovely for its bucolic setting,-1.000000
burgeon,to grow rapidly or flourish;,-1.000000
cacophony,dissonance/discordance/ harsh discordant mixture of sounds; a cacophony of deafening alarm bells,-1.000000
canon,an established set of principles or code or laws often religious in nature; the appointment violated canons,-1.000000
canonical,following or in agreement of the traditional standards/ according to recognized rules or scientific laws; teh canonical rites of roman church,-1.000000
capricious,erratic/fickle/sudden changes in behaviour; a capricious and brutal administration,-1.000000
castigation,severe criticism or punishment; he was castigated for not setting a good example/reprimand/rebuke/,-1.000000
catalyst,the hero's speech acted as a catalyst for debate,-1.000000
caustic,burning or stinging/causing corrosion/sarcastic in a scathing and bitter way; a caustic cleaner/they were making caustic commenst about the referee,-1.000000
censure,to express severe disapproval or to criticize severely in a formal statement or to officially rebuke; the company was heavily censured by the inspectors of tax department,-1.000000
chary,wary or cautious or suspiciously reluctant to to do something; she had been chary of telling the whole truth,-1.000000
chicanery,trikery or subterfuge in order to achieve one's goal; storylines packed with political chicanery,-1.000000
cogent,clear  logical and convincing; they put forward cogent arguments for british membership,-1.000000
complaisance,willingness to comply with wishes of others wihout protest;,-1.000000
connoisseur,an expert in matters of taste; a connoisseur in matters of taste,-1.000000
contentious,argumentative/quarrelsome/causing controversy or disagreement; there was a contentious debate over the use of genetically modified crops/the news channels these days can make any thing contentious,-1.000000
contrite,regretful/penitent/repentant/seeking forgiveness; a contrite tone,-1.000000
convoluted,complex or complicated;the film is let down by a convoluted plot,-1.000000
culpable,deserving blame; mercy killings are less culpable than ordinary murders,-1.000000
dearth,a scarcity or lack of something; there is a dearth of evidence,-1.000000
demur,to question or to oppose or to show reluctance; she demurred when presented the challenge,-1.000000
didactic,intended to teach or instruct esp having a moral instruction as an ulterior motive; the didactic novel set out to expose the moral injustic,-1.000000
disabuse,to undeceive or to set right or persuade someone that an idea or belief is mistaken; he quickly disabused me of the fanciful notions,-1.000000
discordant,conflicting/dissonant or harsh in sound; discordant qualities/discordant chanting,-1.000000
discretion,cautious reserve in speech or ability to make resposible decisions; she could rely on his discretion/local authorities should use their discretion in setting the charges,-1.000000
disinterested,impartial or free of bias or self interest/not interested; a banker is supposed to give a disinterested advice; her drunkard father was very disinterested in her career,-1.000000
disparate,fundamentally different or not able to compare; they inhabit disparate words of thought,-1.000000
dogmatic,expressing a rigid opinion based on unproved or improavblr principles.. dogma; she was not tempted to be dogmatic about what she believed,-1.000000
ebullience,quality of being cheerful and full of energy/exuberence; the ebullience of happy children,-1.000000
eclectic,deriving ideas  style  taste from a broad and diverse range of sources; universities offering a eclectic mix of courses,-1.000000
effrontery,extreme boldness/presumptiousness or arrogant behaviour; one junior had the effrontery to challenge the coroner's decision,-1.000000
elegy,a poem of serious reflection typically a lament for the dead; ,-1.000000
eloquent,well-spoken or expressive or articulate; an eloquent speech or the bus journey is eloquent of the class inequality,-1.000000
emollient,soothing to skin/making less harsh or mollifying or trying to avoid confrontation; a emolient body wash/president's emollient approach to the differences,-1.000000
empirical,based on observation and experiments,-1.000000
enervate,to weaken or reduce in vitality; enervating heat,-1.000000
enigmatic,mysterious/bscure/tough to understand.. derived from enigma; he took the money with an enigmatic smile,-1.000000
ennui,a feeling of restlessness and dissatisfation because of lack of occupation or boredom or apathy; he succumbed to ennui and despair,-1.000000
ephemeral,brief/ lasting for a short time; fashions are ephemeral,-1.000000
equivocate,to use ambiguos language with a deceptive intent; the government have equivocated too often in the past,-1.000000
erudite,very learned/scholarly; ken could turn any conversation into an erudite discussion,-1.000000
esoteric,intended or likely to be understood by a small group of people with a specialized knowledge or interest; esoteric philosophical debates,-1.000000
eulogy,a speech or piece of writing that praises someone or something highly  especially a tribute to some who died; a eulogy to the queen mother,-1.000000
exculpate,exonerate or show that someone is not guilty of wrongdoing or to clear of blame; the article exculpated the mayor,100.000000
exigent,urgent or pressing or require immediate action ro attention; the exigent demand of her contemporaries' music took a toll on her voice,-1.000000
exonerate,to remove the blame;,-1.000000
extemporaneous,spoken or done without preparation or improvised; an extemporaneous speech,-1.000000
facetious,humourous/ treating serious issues with deliberately inappropriate humour or flippant; a facetious remark,-1.000000
fallacy,an invalid or incorrect notion/ a mistaken belief; the notion that camera never lies is a fallacy,-1.000000
filibuster,obstruction especially using prolonged speech to delay legislative action or delay the progress;,-1.000000
fulminate,express vehement protest or to loudly attack; all fulminated against the new curriculum,-1.000000
furtive,secretive typically because it might lead to trouble or guilty or surreptitious; we exchanged furtive smiles across the tables ,-1.000000
gregarious,extrovert or sociable or outgoing or enjoying the xompany of other people; he was popular and a gregarious man,-1.000000
harangue,a long aggressive or pompous speech/ to deliver a long pompous or aggressive speech;,-1.000000
heretical,violating accepted dogma or convention .. heresy,-1.000000
hyperbole,an exaggerated statement; he vowed revenge with oaths and hyperboles,-1.000000
impecunious,lacking funds or without money; a titled but impecunious family,-1.000000
incipient,beginning to happen or develop or become apparent; he could feel the incipient anger building up,-1.000000
inert,unmoving/lethargic/sluggish; she lay inert in her bed/an inert political system,-1.000000
ingenuous,artless/frank and candid/innocent and unsuspecting; he eyed her with wide  ingenuous eyes/ also could mean childlike,-1.000000
innocuous,harmless or causing no damage; it was an innocuous question,-1.000000
inured,accustomed to something esp. unplesant; these children have been inured to violence,-1.000000
irascible,having or showing a tendency to be easily angered; an irascible and difficult man,-1.000000
laud,to praise highly; the obituary lauded him as a great soldier,-1.000000
lucid,expressed clearly or easily understood; a lucid account,-1.000000
magnanimity,the quality of being generously noble in mind and heart esp in forgiving; both sides will have to show mangnanimity,-1.000000
martial,related to war or fighting; martial bravery,-1.000000
mundane,lacking interest or excitent or ordinary/of this earthly word rather than a heavenly one; his mundane existence/dead can act upon the mundane world,-1.000000
nascent,just coming into existence/in early development stages; nascent space organization,-1.000000
nebulous,vague or ill-defined/in form of cloud or hazy; nebulous concepts like life/a giant nebulous glow,-1.000000
neologism,a new word expression  usage; ,-1.000000
noxious,poisonous; noxious fumes,-1.000000
obtuse,lacing sharpness of intellect or stupid/not sharp-pointed or blunt; the guy was deliberately being obtuse,-1.000000
obviate,avoid or prevent or to anticipate and make unnecesarty; parachute can be used to obviate the disaster,-1.000000
onerous,(of task and resposibilities) involving a great deal of effort  trouble  difficulty; he found his duties increasingly onerous,-1.000000
paean,a song of praise or triupmh; a paean of praise for the poets,-1.000000
parody,a humourous imitattion intended for ridicule esp. in literature and arts;,-1.000000
perennial,recurrent throughout the year or for many years/happening repeatedly; perennial river,-1.000000
perfidy,treachery/intentional breach of faith; it was an example of his perfidy,-1.000000
perfunctory,cursory or done without real interest (of action); he gave a perfunctory nod,-1.000000
perspicacious,acutely perceptive/having keen discernment/ having a readu insight inot and nderstanding of things/ it implies unsual power to comprehend what is puzzling or hidden,-1.000000
prattle,to babble meaninglessly; she began to prattle on about her visit to dentist,-1.000000
precipitate,verb=cause an event or a situation which is usually undersiable to happen suddenly  unexpectedly or prematurely/adj=done made or acting suddenly or without careful consideration; the incident precipitated a political crisis/apologies for my staff-their actions were precipitate,-1.000000
predilection,preference or a disposition in favour fo something; your predilection for pretty girls,-1.000000
prescience,that fact of knowing something in advance; with extraordinary prescience  jung predicted the nazi eruption,-1.000000
prevaricate,to deliberately avoid the truth/speak or act in an evasive way/ to mislead; he seemed to prevaricate when journalists asked some questions,-1.000000
qualms,misgivings/reservations/causes for hesitancy/an uneasy feeling of doubt or worry or fear esp about one's own conduct; The military regimes usually have no qualms about controlling the press,-1.000000
recant,to retract esp a previously held belief; The brutal dictator will behead anyone who refuse to recant their critisims of his rule,-1.000000
refute,prove a statement or a theory to be false/to succesfully argue against/disprove; These claioms have not been sucessfully refuted,-1.000000
relegate,to forcibly assign esp to a lower place or position/assign an inferior rank or position to; they aim to prevent women from bein relegated to secondary rule,-1.000000
reticent,reserved/quite/reluctant to express one's thghts and feelings; she was extremely reticent about her personal affairs,-1.000000
solicitous,concerned and attentive/eager; she was always solicitus about the welfare of her students,-1.000000
sordid,aoursing moral distaste and contempt or involving immoral and dishonourable actions and motives/dirty or squalid or filthy ; theo story paintys a sordid picture of bribes and scams/the overcrowded housing conditions were sordid and degrading,-1.000000
sporadic,occuring at irregular intervals or only in few places/scattered or isolated; sporadic fighting broke out,-1.000000
squander,to waste esp money or time in a recless irresponsible manner; taxpayer's money was squandered on adminestering the tax,-1.000000
static,not moving or active or motion/at rest; ,-1.000000
stupefy,to stun baffle or amaze/ make someone unable to think or feel properly; administering drugs to women with intent to stupefy her/ the amount of money spent by them  on clothes will stupefy their grandparents,-1.000000
stymie,block or thwart or hinder the progress of; the changes should ot be allowed to stymie the new medical treatments,-1.000000
synthesis,combinations of parts to make a whole,-1.000000
torque,force that causes rotation,-1.000000
tortuous,winding twisiting excessively complicated ; the route is tortuous/a tourtuous argument,-1.000000
truculent,eager or quick to argue or fight/agressively defiant; the truculent attitude of farmers to cheaper imports,-1.000000
vehement,showing strong feeling/passionate or intense; her voice was low but vehement,-1.000000
veracity,confirming to facts and accuracy/truthfulness or honesty; officials were concerned about veracity of the story,-1.000000
virulent,extremely harmful or posinous/ bitterly hostile or antagonistic; a virulent strain or influenza/a virulent attack on liberalism,-1.000000
voracious,having an insatiable apetite for an activity or pursuit/extremely hungry or ravenous; a voracious reader/ a voracious apetite,-1.000000
waver,to move to and fro/ to be unsettled in opinion; the flame wavered in the draught/ his love for her never wavered,-1.000000
